"","x"
"1",-2.66620510066828
"2",0.215234887715161
"3",-1.84876384691093
"4",-1.16423259773976
"5",-3.91743811519276
"6",0.270387154167036
"7",-0.477435851736764
"8",-2.66293523996052
"9",-0.20500462746224
"10",-0.732288322224571
"11",-1.4205238536932
"12",-1.15393829223271
"13",-1.51200600687097
"14",-2.01139218756599
"15",-1.033898220146
"16",-0.44845142069539
"17",-0.283030450083964
"18",-2.15321218288104
"19",-1.60669173257543
"20",-1.77627886443995
"21",-2.66304171045319
"22",-0.817019741281385
"23",-2.29692048342014
"24",0.0364878056617441
"25",-2.39753446244134
"26",-1.9080423984039
"27",-2.14711842491941
"28",-0.534190281058788
"29",-3.10554328108584
"30",-3.08865705717151
"31",-0.728977472605316
"32",-1.03726622925847
"33",-1.44637737370093
"34",-2.28176600018067
"35",0.595596057361456
"36",-2.35253026915926
"37",-2.65092132628224
"38",0.0308101121526305
"39",-0.217798992618743
"40",-0.863722475699181
"41",-0.249338266838391
"42",-1.34307949493559
"43",-0.838965109070819
"44",-2.78102571874588
"45",-2.70908388217327
"46",-1.9958471371644
"47",-3.079021565166
"48",-2.59932271690759
"49",-1.92585542020192
"50",-1.27244730863285
"51",0.202748769863315
"52",-2.34875465377524
"53",-4.41999094498569
"54",-2.34569204762352
"55",0.446615040141914
"56",-2.25568786693058
"57",-2.34546184699564
"58",1.16210458765718
"59",-1.15237708122622
"60",-2.62234740638855
"61",-1.08306038711646
"62",-1.70542707358966
"63",-2.30167509362191
"64",-0.946050759758079
"65",-0.775769987096851
"66",-0.861931047468944
"67",-2.22176697756779
"68",-1.07635658218015
"69",-0.272062794632322
"70",-1.40536326228934
"71",-2.22043627057411
"72",-1.71183152520672
"73",-1.07029057106084
"74",-1.10609293099977
"75",-1.70325325571901
"76",-0.692210419099826
"77",-1.27259451373312
"78",-3.00360186884709
"79",-1.12497573741387
"80",-1.60415663771015
"81",-1.34016131094278
"82",-0.198718658613689
"83",-1.8121747722856
"84",1.48075725249078
"85",-1.00089492987688
"86",-0.0578083045611697
"87",-1.50698335752104
"88",1.18692876194974
"89",-2.14168323065774
"90",-2.40514051407289
"91",0.195646601714742
"92",-1.61610409675163
"93",-0.508881879035068
"94",-1.59253801684293
"95",-0.209688395171197
"96",-2.50715044699782
"97",-1.87897320055911
"98",0.165659084770628
"99",-1.67402783434667
"100",-2.42049706005993
"101",-0.299109442496971
"102",-1.1402249983269
"103",-0.556955764631567
"104",-2.17280423983399
"105",0.293811182411681
"106",0.955902139119791
"107",-1.61288998734863
"108",-2.3005903355548
"109",-1.44295862685204
"110",-0.455453685457117
"111",-0.897726811705848
"112",-1.44059745590932
"113",-2.03238524037783
"114",-1.5031963591331
"115",-1.76211998213463
"116",-0.644324666370864
"117",-0.941325551247515
"118",-2.24251095896795
"119",-2.96064013285561
"120",-1.2126935646446
"121",-0.644241816132351
"122",-0.332024112824503
"123",-0.950957081480352
"124",-1.75446244989568
"125",-2.1832688237055
"126",-1.53968359084624
"127",-0.65124456161063
"128",-3.37067902465562
"129",-1.40323090736099
"130",-1.52536630406683
"131",-1.78929546563448
"132",-0.399099775862619
"133",-2.41796784433073
"134",-2.08061089713591
"135",-0.499813434044049
"136",-0.749327082641953
"137",-1.78747117300393
"138",-1.25983848838488
"139",-1.46635670069589
"140",0.245013500549771
"141",-2.22085099235373
"142",-0.0970720135402042
"143",-0.978691145515259
"144",-0.107171239435566
"145",-2.00446741872511
"146",-2.47642435446452
"147",-1.61460710830654
"148",-2.78228826996288
"149",-0.0045964881038003
"150",-1.82454532197779
"151",-1.00545814654582
"152",-1.8971353034786
"153",-1.54210356035655
"154",-0.73624133913918
"155",-1.52607848499239
"156",-0.956840274511043
"157",-1.91443727187649
"158",-2.11393546798354
"159",-1.52215986489813
"160",-2.62045583217908
"161",1.2546561061143
"162",-1.3151831349719
"163",-0.521484288808394
"164",-0.097722547084451
"165",-0.30247367428655
"166",0.584151675890047
"167",-3.14787637338593
"168",-1.97186104266381
"169",-0.896326979114596
"170",-1.42931993939491
"171",-1.60711576987494
"172",-0.610980562502643
"173",-2.68408948517711
"174",-1.48345043632023
"175",0.921099344658451
"176",-1.9221989275254
"177",-2.22764163336893
"178",-3.10131700758408
"179",-0.705643934861814
"180",-1.52469393437851
"181",-1.60830816704528
"182",-4.15129755103049
"183",-2.75070715200822
"184",-2.67864194679345
"185",-1.25432642468599
"186",-1.16811955126001
"187",-1.75787553678977
"188",-3.07538085796068
"189",-1.61763578715209
"190",-1.56008148499705
"191",-1.1805365495755
"192",0.156122352057056
"193",-3.41468432617575
"194",-0.180231409047324
"195",-2.75338234555454
"196",-1.20141653260838
"197",-2.02481165176577
"198",-1.32723467899698
"199",-0.672002019017646
"200",-0.954507868688431
"201",-2.71526426630521
"202",-0.735688691827858
"203",-0.249496944777715
"204",-1.92881547846461
"205",-1.30634237619028
"206",-1.66172731070196
"207",-1.87783880718404
"208",-1.33566914114388
"209",-2.09314982940487
"210",-2.48880935987074
"211",-0.324020589909183
"212",-2.34606107471997
"213",-0.936189387153959
"214",-0.648536596793586
"215",0.219298567528907
"216",-1.45573193401375
"217",-1.97759103760361
"218",0.479731576202045
"219",-1.32257300887452
"220",-0.128639643202562
"221",-1.54571872971713
"222",-2.54262973062243
"223",-0.488617858967933
"224",-2.05718189204789
"225",-1.70412376976698
"226",-1.47753618408336
"227",-0.845558518692353
"228",-0.353074673476503
"229",-1.52888114373624
"230",-0.94153982630976
"231",-1.32600166519152
"232",-1.93952888786006
"233",-2.43251499845294
"234",-0.634625785559773
"235",0.23328990618197
"236",0.111412511783402
"237",-0.289339965375512
"238",-2.25436500963631
"239",-2.36554705740056
"240",0.301927507611679
"241",-1.0040847889198
"242",-1.94570110557475
"243",0.220856801481049
"244",-0.0783567769052644
"245",-2.57521390663846
"246",0.670513060564783
"247",-2.17221682701348
"248",-1.37094994521765
"249",-0.375214955417242
"250",-2.48875965968139
"251",-2.30841247638392
"252",-2.76117757836262
"253",-1.21198229403925
"254",-0.325211667230171
"255",-2.4373475698332
"256",-0.898155690966426
"257",-1.5944056902078
"258",0.226890781633462
"259",-0.237501254180868
"260",-0.263396473622095
"261",-0.398986558277718
"262",-1.5988636385545
"263",-1.90625604684181
"264",-1.81455270232603
"265",-0.965069912209831
"266",1.58931831625039
"267",0.118637199942346
"268",-0.619072552810031
"269",-0.82728260742704
"270",-1.1988866701143
"271",-0.54144140340853
"272",1.76179811822562
"273",-1.53911944345424
"274",-0.731657407226673
