"","x"
"1",-2.2414789261715
"2",0.775878042796065
"3",-1.38547912270861
"4",-0.66865866367088
"5",-3.5517323659094
"6",0.833631831250387
"7",0.0505341552567852
"8",-2.23805482675111
"9",0.335815908978221
"10",-0.21633965817856
"11",-0.937039129810808
"12",-0.657878777715384
"13",-1.03283647889318
"14",-1.55577861150778
"15",-0.532176438077416
"16",0.0808857764416196
"17",0.254109623025283
"18",-1.70428822924335
"19",-1.1319885124139
"20",-1.30957503729089
"21",-2.23816631943683
"22",-0.305067842285224
"23",-1.85477522320411
"24",0.588699494608053
"25",-1.96013514463197
"26",-1.44755383229088
"27",-1.69790702986844
"28",-0.00889736978797646
"29",-2.70154060566536
"30",-2.68385786175507
"31",-0.212872636407453
"32",-0.535703315544244
"33",-0.964112155479275
"34",-1.83890590584957
"35",1.17418077704832
"36",-1.91300811204413
"37",-2.2254742190314
"38",0.582753985367377
"39",0.322418036031316
"40",-0.353973535873671
"41",0.289391060197534
"42",-0.855941735262735
"43",-0.32804836893265
"44",-2.36171561113955
"45",-2.28638029170975
"46",-1.53950030401178
"47",-2.67376786540968
"48",-2.17144171298813
"49",-1.46620709096616
"50",-0.781977842058928
"51",0.762802957121019
"52",-1.90905440159482
"53",-4.07799051786238
"54",-1.90584733288878
"55",1.01817235335616
"56",-1.81159767197448
"57",-1.90560627374072
"58",1.76741140782969
"59",-0.656243924680287
"60",-2.19555247272764
"61",-0.583657575187987
"62",-1.23538118083446
"63",-1.859754107472
"64",-0.440185229557988
"65",-0.261872344978778
"66",-0.352097606311818
"67",-1.77607674066061
"68",-0.576637553037706
"69",0.26559462071521
"70",-0.921163416170912
"71",-1.77468326446912
"72",-1.24208772922591
"73",-0.570285409318422
"74",-0.607776559820516
"75",-1.23310482438501
"76",-0.174371287925289
"77",-0.782131990796008
"78",-2.59479063624554
"79",-0.627550064650373
"80",-1.12933383760214
"81",-0.852885901081595
"82",0.342398385791326
"83",-1.3471641483368
"84",2.10109485874035
"85",-0.497616388833335
"86",0.489955454657643
"87",-1.02757691212109
"88",1.79340653373982
"89",-1.69221545851895
"90",-1.96809997228388
"91",0.755365781040909
"92",-1.14184485603237
"93",0.017604824784033
"94",-1.11716716858081
"95",0.330911208830162
"96",-2.07492169449772
"97",-1.4171134458685
"98",0.723963758580563
"99",-1.20250084540075
"100",-1.98418088364766
"101",0.237272187573926
"102",-0.643518630323451
"103",-0.0327366969255091
"104",-1.72480443982616
"105",0.858160766487704
"106",1.55148242870091
