"","x"
"1",-1.79002416107085
"2",1.20014941177988
"3",-0.941736067549075
"4",-0.231373450484656
"5",-3.08847351576607
"6",1.25738289583372
"7",0.481340153858075
"8",-1.78663090939299
"9",0.764051801690129
"10",0.216870609012238
"11",-0.497336074587287
"12",-0.220690680618849
"13",-0.592270384488741
"14",-1.11050132671942
"15",-0.096120794491133
"16",0.511418337014218
"17",0.683081608403433
"18",-1.25767301997089
"19",-0.690529156446206
"20",-0.866515802720705
"21",-1.7867413976401
"22",0.128941777915544
"23",-1.40680427524732
"24",1.01465715681879
"25",-1.51121500819385
"26",-1.00325154551348
"27",-1.25134930887864
"28",0.422444047957861
"29",-2.24594114074946
"30",-2.22841770083836
"31",0.220306396352974
"32",-0.0996158982870891
"33",-0.524165199123605
"34",-1.39107792471579
"35",1.59486383311094
"36",-1.46451254346715
"37",-1.77416364048157
"38",1.00876521072443
"39",0.750774630301304
"40",0.0804766761612273
"41",0.718045194790349
"42",-0.416969287197305
"43",0.106168283039717
"44",-1.90917763266082
"45",-1.83452100980245
"46",-1.0943696706423
"47",-2.21841860536094
"48",-1.72061791377202
"49",-1.02173675681331
"50",-0.343671735373713
"51",1.18719211966948
"52",-1.46059445203091
"53",-3.60999060328704
"54",-1.45741627583573
"55",1.44026089071331
"56",-1.3640157109657
"57",-1.45717738839171
"58",2.18275004379519
"59",-0.219070555989474
"60",-1.74451145945982
"61",-0.14713813757368
"62",-0.792990359385498
"63",-1.41173830470199
"64",-0.00495833559800622
"65",0.171748126597608
"66",0.0823357054567567
"67",-1.32881478804204
"68",-0.140181358866195
"69",0.694463137645703
"70",-0.481603385394598
"71",-1.32743386569012
"72",-0.799636488422072
"73",-0.133886441666905
"74",-0.171039834056367
"75",-0.790734510651807
"76",0.258460885839803
"77",-0.343824495383431
"78",-2.14015288276585
"79",-0.190635199203072
"80",-0.68789839762374
"81",-0.413940983053833
"82",0.770574976910323
"83",-0.903766273126562
"84",2.51342733749044
"85",-0.061872097042044
"86",0.916802702813881
"87",-0.587058201201082
"88",2.20851097938181
"89",-1.24570901294671
"90",-1.51910808064168
