"","x"
"1",-2.05347651006441
"2",0.664863101618077
"3",-1.2823055159537
"4",-0.636521318622414
"5",-3.23388501433279
"6",0.716893541667015
"7",0.0114001398709776
"8",-2.05039173581181
"9",0.268410728809208
"10",-0.229026719079784
"11",-0.878305522352079
"12",-0.626809709653499
"13",-0.96460944044431
"14",-1.43572847883584
"15",-0.513564358628303
"16",0.0387439427401978
"17",0.194801462184939
"18",-1.56952092724626
"19",-1.05393559676928
"20",-1.21392345701882
"21",-2.05049217967282
"22",-0.308962020076778
"23",-1.70509479567938
"24",0.496233778926174
"25",-1.80001364381259
"26",-1.33822867773953
"27",-1.56377209898058
"28",-0.0421417745837626
"29",-2.46794649159041
"30",-2.45201609167123
"31",-0.225903276042751
"32",-0.516741725715535
"33",-0.902695635566914
"34",-1.69079811337799
"35",1.02369439373722
"36",-1.75755685769741
"37",-2.03905785498325
"38",0.490877464294934
"39",0.256340573001185
"40",-0.353021203489793
"41",0.226586540718499
"42",-0.805244806543005
"43",-0.329665197236621
"44",-2.16179784787347
"45",-2.0939281907295
"46",-1.42106333694755
"47",-2.44292600487358
"48",-1.99037992161093
"49",-1.35503341528483
"50",-0.738610668521557
"51",0.653083745154071
"52",-1.75399495639173
"53",-3.70799145753367
"54",-1.75110570530521
"55",0.883146264284825
"56",-1.66619610087791
"57",-1.75088853490155
"58",1.55813640345017
"59",-0.62533686908134
"60",-2.01210132678165
"61",-0.559943761430618
"62",-1.14708214489591
"63",-1.70958027700181
"64",-0.430689395998187
"65",-0.270047157638538
"66",-0.351331176857494
"67",-1.6341952618564
"68",-0.553619417151087
"69",0.205148306950639
"70",-0.864003077631453
"71",-1.63293987790011
"72",-1.1531240803837
"73",-0.547896765151732
"74",-0.581672576414879
"75",-1.14503137331982
"76",-0.19121737650927
"77",-0.738749541257665
"78",-2.37177534796896
"79",-0.599486544730065
"80",-1.05154399783976
"81",-0.802491802776212
"82",0.274340888100294
"83",-1.24778752102415
"84",1.85875212499131
"85",-0.482429179129131
"86",0.407275184376255
"87",-0.959871092000983
"88",1.58155543580164
"89",-1.55864455722428
"90",-1.80718916421971
"91",0.646383586523342
"92",-1.06281518561475
"93",-0.0182659236179883
"94",-1.04058303475748
"95",0.263992080027173
"96",-1.90342494999795
"97",-1.31080490618784
"98",0.618093476198705
"99",-1.11746022108176
"100",-1.82167647175465
"101",0.179632601417951
"102",-0.613872639931037
"103",-0.0636186458788371
"104",-1.58800399984339
"105",0.738991681520454
"106",1.36360579162244
"107",-1.05978300693267
"108",-1.70855692033471
"109",-0.8994704026906
"110",0.0321380325876254
"111",-0.385100765760234
"112",-0.897242882933321
"113",-1.45553324563947
"114",-0.956298452012359
"115",-1.20056602088173
"116",-0.146042138085721
"117",-0.426231652120297
"118",-1.65376505563014
"119",-2.33124540835435
"120",-0.682239211928871
"121",-0.14596397748335
"122",0.148581025637261
"123",-0.435318001396559
"124",-1.19334193386384
"125",-1.59787624877877
"126",-0.990720368722867
"127",-0.152570341142104
"128",-2.71807455156191
"129",-0.861991422038669
"130",-0.977213494402669
"131",-1.22620326946649
"132",0.0853020982428119
"133",-1.81929041917994
"134",-1.50102914824143
"135",-0.00971078683400896
"136",-0.245101021360333
